step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.5999999999999998,2.220446049250313e-16,0.5999999999999998,2.220446049250313e-16,0.4000000000000001,5.551115123125783e-17,0.4000000000000001,5.551115123125783e-17,0.5999999999999998,2.220446049250313e-16,0.5999999999999998,2.220446049250313e-16,0.4000000000000001,5.551115123125783e-17,0.4000000000000001,5.551115123125783e-17,1.0,1.0,0.0,0.0
1,1.0,0.0,1.6000000000000003,2.220446049250313e-16,0.0,0.0,0.4000000000000001,5.551115123125783e-17,0.0,0.0,0.5999999999999998,2.220446049250313e-16,1.0,0.0,1.3999999999999997,2.220446049250313e-16,1.0,0.0,0.0,1.0
2,0.0,0.0,1.6000000000000003,2.220446049250313e-16,1.0,0.0,1.3999999999999997,2.220446049250313e-16,1.0,0.0,1.6000000000000003,2.220446049250313e-16,0.0,0.0,1.3999999999999997,2.220446049250313e-16,0.0,1.0,1.0,0.0
3,0.20000000000000004,2.7755575615628914e-17,1.8000000000000005,4.440892098500626e-16,0.8000000000000002,1.1102230246251565e-16,2.1999999999999997,4.440892098500626e-16,0.20000000000000004,2.7755575615628914e-17,1.8000000000000005,4.440892098500626e-16,0.8000000000000002,1.1102230246251565e-16,2.1999999999999997,4.440892098500626e-16,0.0,0.0,1.0,1.0
4,0.7208,0.1836501020963506,2.5207999999999995,0.18365010209635055,0.2792,0.1836501020963506,2.4792000000000005,0.18365010209635055,0.41879999999999995,0.27547515314452586,2.2187999999999994,0.27547515314452586,0.5812,0.27547515314452586,2.7812000000000006,0.275475153144526,1.0,0.698,0.0,0.302
5,0.7167999999999999,0.18187292266854901,3.2375999999999996,0.246953922827721,0.28319999999999995,0.181872922668549,2.7624000000000004,0.246953922827721,0.42479999999999996,0.27280938400282345,2.6435999999999993,0.3704308842415816,0.5752000000000002,0.27280938400282345,3.3564000000000007,0.3704308842415816,1.0,0.708,0.0,0.292
6,0.6671999999999998,0.2469902022348255,3.9048000000000003,0.25701548591475964,0.3328000000000001,0.2469902022348255,3.0951999999999997,0.25701548591475953,0.45819999999999994,0.29531806582056574,3.1018000000000003,0.4095812007404637,0.5418000000000002,0.29531806582056574,3.8981999999999997,0.40958120074046367,0.93,0.721,0.07,0.279
7,0.31760000000000005,0.35146868992842023,4.2224,0.2153560772302467,0.6824,0.3514686899284202,3.7775999999999996,0.21535607723024672,0.6486000000000001,0.3670395619003488,3.7504000000000004,0.43490210392684925,0.3514,0.3670395619003488,4.249599999999999,0.43490210392684925,0.402,0.733,0.598,0.267
8,0.6267999999999998,0.2528275301465408,4.8492,0.24815188897125096,0.37320000000000003,0.2528275301465408,4.150799999999999,0.24815188897125098,0.49579999999999985,0.2828115273463937,4.2462,0.502698279288879,0.5042000000000001,0.2828115273463937,4.7538,0.5026982792888791,0.898,0.767,0.102,0.233
9,0.6187999999999999,0.2738732553572912,5.468,0.2656614386771254,0.38120000000000004,0.2738732553572912,4.532,0.26566143867712544,0.49179999999999996,0.29841709066338673,4.738,0.5243624700529204,0.5082000000000001,0.2984170906633868,5.262,0.5243624700529205,0.872,0.745,0.128,0.255
