,UCB×UCB,KLUCB×KLUCB,TS×TS,UCB×KLUCB,UCB×TS
0,0.64,0.24,0.0,0.4,0.0
1,0.02,0.0,0.0,0.0,0.0
2,0.04,0.0,0.0,0.02,0.0
3,0.3,0.76,1.0,0.58,1.0
